timestamp,event_type,player_position
1726259382.7129288,player_moved,"(545, 225)"
1726259382.7286825,player_moved,"(550, 225)"
1726259382.765651,player_moved,"(555, 225)"
1726259382.7819035,player_moved,"(560, 225)"
1726259382.7976928,player_moved,"(565, 225)"
1726259382.813534,player_moved,"(570, 225)"
1726259382.8303246,player_moved,"(575, 225)"
1726259382.87395,player_moved,"(580, 225)"
1726259382.8903165,player_moved,"(585, 225)"
1726259382.9059136,player_moved,"(590, 225)"
1726259382.9316156,player_moved,"(595, 225)"
1726259382.9478083,player_moved,"(600, 225)"
1726259383.0079575,player_moved,"(600, 225)"
1726259383.0240505,player_moved,"(600, 225)"
1726259383.0399225,player_moved,"(600, 225)"
1726259383.0564733,player_moved,"(600, 225)"
1726259383.071747,player_moved,"(600, 225)"
1726259383.109719,player_moved,"(600, 225)"
1726259383.164751,player_moved,"(600, 225)"
1726259383.1808,player_moved,"(600, 225)"
1726259383.1977448,player_moved,"(600, 225)"
1726259383.2145355,player_moved,"(600, 225)"
1726259383.229832,player_moved,"(600, 225)"
1726259383.2719188,player_moved,"(600, 225)"
1726259383.288011,player_moved,"(600, 225)"
1726259383.3043404,player_moved,"(600, 225)"
1726259383.3303382,player_moved,"(600, 225)"
1726259383.3466525,player_moved,"(600, 225)"
1726259383.40512,player_moved,"(600, 225)"
1726259383.4212823,player_moved,"(600, 225)"
1726259383.4368362,player_moved,"(600, 225)"
1726259383.4643161,player_moved,"(600, 225)"
1726259383.4795053,player_moved,"(600, 225)"
1726259383.5453675,player_moved,"(600, 225)"
1726259383.561423,player_moved,"(600, 225)"
1726259383.5773098,player_moved,"(600, 225)"
1726259383.5931528,player_moved,"(600, 225)"
1726259383.6087062,player_moved,"(600, 225)"
1726259383.6248443,player_moved,"(600, 225)"
1726259383.6405828,player_moved,"(600, 225)"
1726259383.710305,player_moved,"(600, 225)"
1726259383.7264938,player_moved,"(600, 225)"
1726259383.7420242,player_moved,"(600, 225)"
1726259383.7583392,player_moved,"(600, 225)"
1726259383.7737503,player_moved,"(600, 225)"
1726259383.8138766,player_moved,"(600, 225)"
1726259383.8556902,player_moved,"(600, 225)"
1726259383.8722494,player_moved,"(600, 225)"
1726259383.8884757,player_moved,"(600, 225)"
1726259383.9050481,player_moved,"(600, 225)"
1726259383.9210112,player_moved,"(600, 225)"
1726259383.9614909,player_moved,"(600, 225)"
1726259383.976846,player_moved,"(600, 225)"
1726259383.993341,player_moved,"(600, 225)"
1726259384.0087612,player_moved,"(600, 225)"
1726259384.0245643,player_moved,"(600, 225)"
1726259384.0717432,player_moved,"(600, 225)"
1726259384.0884364,player_moved,"(600, 225)"
1726259384.1043375,player_moved,"(600, 225)"
1726259384.1196706,player_moved,"(600, 225)"
1726259384.1361177,player_moved,"(600, 225)"
1726259384.1520457,player_moved,"(600, 225)"
1726259384.1682336,player_moved,"(600, 225)"
1726259384.1847312,player_moved,"(600, 225)"
1726259384.1997757,player_moved,"(600, 225)"
1726259384.2159436,player_moved,"(600, 225)"
1726259384.2815661,player_moved,"(600, 225)"
1726259384.297641,player_moved,"(600, 225)"
1726259384.314352,player_moved,"(600, 225)"
1726259384.330173,player_moved,"(600, 225)"
1726259384.3501656,player_moved,"(600, 225)"
1726259384.3660214,player_moved,"(600, 225)"
1726259384.4026217,player_moved,"(600, 225)"
1726259384.41914,player_moved,"(600, 225)"
1726259384.4353461,player_moved,"(600, 225)"
1726259384.4619715,player_moved,"(600, 225)"
1726259384.477969,player_moved,"(600, 225)"
